date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:23:24	82/82	---MC-	200	added ('OK')	text/plain	date:Wed,%2010%20Aug%202022%2014:23:25%20GMT	https://videolucrativos.space/robots.txt		(from )
11:23:25	102682/102682	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Aug%202022%2014:23:25%20GMT	https://videolucrativos.space/promocao/?pv=lipydzdz&af=afimvjpyp	C:/Meus%20Sites/profissaodofututo/videolucrativos.space/promocao/indexb33d.html	(from )
11:23:25	151810/151810	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Jun%202022%2010:18:05%20GMT	https://videolucrativos.space/wp-content/uploads/2022/06/cropped-ccd-2.png	C:/Meus%20Sites/profissaodofututo/videolucrativos.space/wp-content/uploads/2022/06/cropped-ccd-2.png	(from https://videolucrativos.space/promocao/?pv=lipydzdz&af=afimvjpyp)
11:23:26	102682/102682	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Aug%202022%2014:23:26%20GMT	https://videolucrativos.space/promocao/	C:/Meus%20Sites/profissaodofututo/videolucrativos.space/promocao/index.html	(from https://videolucrativos.space/promocao/?pv=lipydzdz&af=afimvjpyp)
11:23:26	88932/88932	---M--	200	added ('OK')	text/css	date:Wed,%2027%20Jul%202022%2007:16:00%20GMT	https://videolucrativos.space/wp-includes/css/dist/block-library/style.min.css?ver=6.0.1	C:/Meus%20Sites/profissaodofututo/videolucrativos.space/wp-includes/css/dist/block-library/style.min37ad.css	(from https://videolucrativos.space/promocao/?pv=lipydzdz&af=afimvjpyp)
11:23:26	2702/2702	---M--	200	added ('OK')	text/css	date:Tue,%2025%20May%202021%2003:11:56%20GMT	https://videolucrativos.space/wp-content/themes/twentytwenty/print.css?ver=2.0	C:/Meus%20Sites/profissaodofututo/videolucrativos.space/wp-content/themes/twentytwenty/printd5f7.css	(from https://videolucrativos.space/promocao/?pv=lipydzdz&af=afimvjpyp)
11:23:26	19128/19128	---M--	200	added ('OK')	text/css	date:Thu,%2028%20Jul%202022%2000:45:56%20GMT	https://videolucrativos.space/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.15.0	C:/Meus%20Sites/profissaodofututo/videolucrativos.space/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min7816.css	(from https://videolucrativos.space/promocao/?pv=lipydzdz&af=afimvjpyp)
11:23:27	121535/121535	---M--	200	added ('OK')	text/css	date:Sat,%2021%20May%202022%2000:38:14%20GMT	https://videolucrativos.space/wp-content/themes/twentytwenty/style.css?ver=2.0	C:/Meus%20Sites/profissaodofututo/videolucrativos.space/wp-content/themes/twentytwenty/styled5f7.css	(from https://videolucrativos.space/promocao/?pv=lipydzdz&af=afimvjpyp)
11:23:27	1117/1117	---M--	200	added ('OK')	text/css	date:Thu,%2028%20Jul%202022%2000:46:09%20GMT	https://videolucrativos.space/wp-content/uploads/elementor/css/post-7.css?ver=1658969169	C:/Meus%20Sites/profissaodofututo/videolucrativos.space/wp-content/uploads/elementor/css/post-7f82e.css	(from https://videolucrativos.space/promocao/?pv=lipydzdz&af=afimvjpyp)
11:23:27	107993/107993	---M--	200	added ('OK')	text/css	date:Thu,%2028%20Jul%202022%2000:45:56%20GMT	https://videolucrativos.space/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.6.8	C:/Meus%20Sites/profissaodofututo/videolucrativos.space/wp-content/plugins/elementor/assets/css/frontend-lite.mina4f3.css	(from https://videolucrativos.space/promocao/?pv=lipydzdz&af=afimvjpyp)
11:23:27	59344/59344	---M--	200	added ('OK')	text/css	date:Thu,%2028%20Jul%202022%2000:45:56%20GMT	https://videolucrativos.space/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.6.8	C:/Meus%20Sites/profissaodofututo/videolucrativos.space/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.mina4f3.css	(from https://videolucrativos.space/promocao/?pv=lipydzdz&af=afimvjpyp)
11:23:27	26702/26702	---M--	200	added ('OK')	text/css	date:Thu,%2028%20Jul%202022%2000:45:56%20GMT	https://videolucrativos.space/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.6.8	C:/Meus%20Sites/profissaodofututo/videolucrativos.space/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.mina4f3.css	(from https://videolucrativos.space/promocao/?pv=lipydzdz&af=afimvjpyp)
11:23:28	42724/42724	---M--	200	added ('OK')	text/css	date:Thu,%2028%20Jul%202022%2000:46:09%20GMT	https://videolucrativos.space/wp-content/uploads/elementor/css/global.css?ver=1658969169	C:/Meus%20Sites/profissaodofututo/videolucrativos.space/wp-content/uploads/elementor/css/globalf82e.css	(from https://videolucrativos.space/promocao/?pv=lipydzdz&af=afimvjpyp)
11:23:28	18763/18763	---M--	200	added ('OK')	text/css	date:Thu,%2004%20Aug%202022%2000:51:44%20GMT	https://videolucrativos.space/wp-content/uploads/elementor/css/post-1540.css?ver=1659574304	C:/Meus%20Sites/profissaodofututo/videolucrativos.space/wp-content/uploads/elementor/css/post-15402a98.css	(from https://videolucrativos.space/promocao/?pv=lipydzdz&af=afimvjpyp)
11:23:28	210882/210882	---M--	200	added ('OK')	text/css	date:Tue,%2007%20Jun%202022%2020:51:16%20GMT	https://videolucrativos.space/wp-content/plugins/elementor-pro/assets/css/frontend.min.css?ver=3.2.1	C:/Meus%20Sites/profissaodofututo/videolucrativos.space/wp-content/plugins/elementor-pro/assets/css/frontend.mindeae.css	(from https://videolucrativos.space/promocao/?pv=lipydzdz&af=afimvjpyp)
